enc,bench,method,top_k,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,0.00029176240120456186,0.0,-0.03250616788864136
bert-base-uncased,scifact,random,10,0,5,0,0.00029176240120456186,0.0,-0.03250616788864136
bert-base-uncased,scifact,random,20,0,5,0,0.00029176240120456186,0.0,-0.03250616788864136
bert-base-uncased,scifact,greedy,1,0,5,0,0.010516900224974927,0.0,-0.07594519853591919
bert-base-uncased,scifact,greedy,10,0,5,0,0.010516900224974927,0.0,-0.07594519853591919
bert-base-uncased,scifact,greedy,20,0,5,0,0.010516900224974927,0.0,-0.07594519853591919
bert-base-uncased,scifact,ggpp,1,0,5,0,0.0026433613720889724,0.0,0.06763917207717896
bert-base-uncased,scifact,ggpp,10,0,5,0,0.0026433613720889724,0.0,0.06763917207717896
bert-base-uncased,scifact,ggpp,20,0,5,0,0.0026433613720889724,0.0,0.06763917207717896
bert-base-uncased,scifact,de,1,0,1,61,0.06928724380544508,0.2559580248098155,-0.15832966566085815
bert-base-uncased,scifact,de,10,0,1,61,0.06928724380544508,0.2559580248098155,-0.15832966566085815
bert-base-uncased,scifact,de,20,1,1,61,0.06928724380544508,0.2559580248098155,-0.15832966566085815
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,0.00025581020777473533,0.0,0.015565037727355957
bert-base-uncased,scifact,random,10,0,5,0,0.00025581020777473533,0.0,0.015565037727355957
bert-base-uncased,scifact,random,20,0,5,0,0.00025581020777473533,0.0,0.015565037727355957
bert-base-uncased,scifact,greedy,1,0,5,0,0.04025023607176582,0.0,-0.030598819255828857
bert-base-uncased,scifact,greedy,10,0,5,0,0.04025023607176582,0.0,-0.030598819255828857
bert-base-uncased,scifact,greedy,20,0,5,0,0.04025023607176582,0.0,-0.030598819255828857
bert-base-uncased,scifact,ggpp,1,0,5,0,0.034297855119384865,0.0,0.10201281309127808
bert-base-uncased,scifact,ggpp,10,0,5,0,0.034297855119384865,0.0,0.10201281309127808
bert-base-uncased,scifact,ggpp,20,0,5,0,0.034297855119384865,0.0,0.10201281309127808
bert-base-uncased,scifact,de,1,0,5,150,0.10969468051621026,0.3010299956639812,0.1049688458442688
bert-base-uncased,scifact,de,10,1,5,150,0.10969468051621026,0.3010299956639812,0.1049688458442688
bert-base-uncased,scifact,de,20,1,5,150,0.10969468051621026,0.3010299956639812,0.1049688458442688
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,0.0006046917264544965,0.0,-0.004376888275146484
bert-base-uncased,scifact,random,10,0,5,0,0.0006046917264544965,0.0,-0.004376888275146484
bert-base-uncased,scifact,random,20,0,5,0,0.0006046917264544965,0.0,-0.004376888275146484
bert-base-uncased,scifact,greedy,1,0,5,0,0.0029626556016597513,0.0,-0.02368706464767456
bert-base-uncased,scifact,greedy,10,0,5,0,0.0029626556016597513,0.0,-0.02368706464767456
bert-base-uncased,scifact,greedy,20,0,5,0,0.0029626556016597513,0.0,-0.02368706464767456
bert-base-uncased,scifact,ggpp,1,0,5,0,0.0029467193466796715,0.0,0.12480700016021729
bert-base-uncased,scifact,ggpp,10,0,5,0,0.0029467193466796715,0.0,0.12480700016021729
bert-base-uncased,scifact,ggpp,20,0,5,0,0.0029467193466796715,0.0,0.12480700016021729
bert-base-uncased,scifact,de,1,0,2,150,0.12396265560165975,0.31546487678572877,-0.016357779502868652
bert-base-uncased,scifact,de,10,1,2,150,0.12396265560165975,0.31546487678572877,-0.016357779502868652
bert-base-uncased,scifact,de,20,1,2,150,0.12396265560165975,0.31546487678572877,-0.016357779502868652
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,-4.349353088095066e-06,0.0,0.0367487370967865
bert-base-uncased,scifact,random,10,0,5,0,-4.349353088095066e-06,0.0,0.0367487370967865
bert-base-uncased,scifact,random,20,0,5,0,-4.349353088095066e-06,0.0,0.0367487370967865
bert-base-uncased,scifact,greedy,1,0,5,0,0.0011384740341222797,0.0,0.03729709982872009
bert-base-uncased,scifact,greedy,10,0,5,0,0.0011384740341222797,0.0,0.03729709982872009
bert-base-uncased,scifact,greedy,20,0,5,0,0.0011384740341222797,0.0,0.03729709982872009
bert-base-uncased,scifact,ggpp,1,0,5,0,0.0008347671687054625,0.0,0.05733934044837952
bert-base-uncased,scifact,ggpp,10,0,5,0,0.0008347671687054625,0.0,0.05733934044837952
bert-base-uncased,scifact,ggpp,20,0,5,0,0.0008347671687054625,0.0,0.05733934044837952
bert-base-uncased,scifact,de,1,0,5,150,0.030205067920585162,0.0,-6.717443466186523e-05
bert-base-uncased,scifact,de,10,0,5,150,0.030205067920585162,0.0,-6.717443466186523e-05
bert-base-uncased,scifact,de,20,0,5,150,0.030205067920585162,0.0,-6.717443466186523e-05
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,0.0032345013477088954,0.0,-0.13340145349502563
bert-base-uncased,scifact,random,10,0,5,0,0.0032345013477088954,0.0,-0.13340145349502563
bert-base-uncased,scifact,random,20,0,5,0,0.0032345013477088954,0.0,-0.13340145349502563
bert-base-uncased,scifact,greedy,1,0,5,0,0.0035146133925268216,0.0,-0.18554085493087769
bert-base-uncased,scifact,greedy,10,0,5,0,0.0035146133925268216,0.0,-0.18554085493087769
bert-base-uncased,scifact,greedy,20,0,5,0,0.0035146133925268216,0.0,-0.18554085493087769
bert-base-uncased,scifact,ggpp,1,0,5,0,0.04634227077126779,0.23137821315975915,-0.056790173053741455
bert-base-uncased,scifact,ggpp,10,0,5,0,0.04634227077126779,0.23137821315975915,-0.056790173053741455
bert-base-uncased,scifact,ggpp,20,1,5,0,0.04634227077126779,0.23137821315975915,-0.056790173053741455
bert-base-uncased,scifact,de,1,0,2,150,0.0706337687469763,0.26264953503719357,-0.02679765224456787
bert-base-uncased,scifact,de,10,0,2,150,0.0706337687469763,0.26264953503719357,-0.02679765224456787
bert-base-uncased,scifact,de,20,1,2,150,0.0706337687469763,0.26264953503719357,-0.02679765224456787
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,-0.0005264461786200919,0.0,-0.027008891105651855
bert-base-uncased,scifact,random,10,0,5,0,-0.0005264461786200919,0.0,-0.027008891105651855
bert-base-uncased,scifact,random,20,0,5,0,-0.0005264461786200919,0.0,-0.027008891105651855
bert-base-uncased,scifact,greedy,1,0,5,0,-0.00014472026424217684,0.0,-0.0731285810470581
bert-base-uncased,scifact,greedy,10,0,5,0,-0.00014472026424217684,0.0,-0.0731285810470581
bert-base-uncased,scifact,greedy,20,0,5,0,-0.00014472026424217684,0.0,-0.0731285810470581
bert-base-uncased,scifact,ggpp,1,0,5,0,0.007863247863247862,0.0,0.02827894687652588
bert-base-uncased,scifact,ggpp,10,0,5,0,0.007863247863247862,0.0,0.02827894687652588
bert-base-uncased,scifact,ggpp,20,0,5,0,0.007863247863247862,0.0,0.02827894687652588
bert-base-uncased,scifact,de,1,0,5,150,0.004712562931741013,0.0,0.02824532985687256
bert-base-uncased,scifact,de,10,0,5,150,0.004712562931741013,0.0,0.02824532985687256
bert-base-uncased,scifact,de,20,0,5,150,0.004712562931741013,0.0,0.02824532985687256
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,-0.001196172248803827,0.0,0.008740127086639404
bert-base-uncased,scifact,random,10,0,5,0,-0.001196172248803827,0.0,0.008740127086639404
bert-base-uncased,scifact,random,20,0,5,0,-0.001196172248803827,0.0,0.008740127086639404
bert-base-uncased,scifact,greedy,1,0,5,0,0.05789473684210526,0.25,-0.051254987716674805
bert-base-uncased,scifact,greedy,10,0,5,0,0.05789473684210526,0.25,-0.051254987716674805
bert-base-uncased,scifact,greedy,20,1,5,0,0.05789473684210526,0.25,-0.051254987716674805
bert-base-uncased,scifact,ggpp,1,0,5,0,0.07456140350877193,0.27023815442731974,0.041819214820861816
bert-base-uncased,scifact,ggpp,10,0,5,0,0.07456140350877193,0.27023815442731974,0.041819214820861816
bert-base-uncased,scifact,ggpp,20,1,5,0,0.07456140350877193,0.27023815442731974,0.041819214820861816
bert-base-uncased,scifact,de,1,0,1,150,0.06815114709851552,0.26264953503719357,-0.015038251876831055
bert-base-uncased,scifact,de,10,0,1,150,0.06815114709851552,0.26264953503719357,-0.015038251876831055
bert-base-uncased,scifact,de,20,1,1,150,0.06815114709851552,0.26264953503719357,-0.015038251876831055
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
