top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.046580626019878356,0.0,0.4623441696166992
20,ggpp,1,5,2,0.05159315734819916,0.23137821315975915,0.49784040451049805
20,DE_fixed,1,5,800,0.08229491173416406,0.27023815442731974,0.44524991512298584
20,DE_seq,1,3,960,0.057785107812595445,0.23981246656813146,0.46243560314178467
20,DE_fixed_stop,1,5,200,0.08229491173416406,0.27023815442731974,0.44524991512298584
20,DE_seq_stop,1,3,1660,0.057785107812595445,0.23981246656813146,0.46243560314178467
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.001468015992003998,0.0,0.01826608180999756
20,ggpp,0,5,2,0.0066167574107683,0.0,0.06625789403915405
20,DE_fixed,0,5,800,0.0068538365952159055,0.0,-0.05271732807159424
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,2500,0.0068538365952159055,0.0,-0.05271732807159424
20,DE_seq_stop,0,5,11800,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0015873015873015869,0.0,-0.0009598731994628906
20,ggpp,1,5,2,0.9857142857142858,1.0,-0.027783572673797607
20,DE_fixed,0,5,800,0.006547619047619047,0.0,-0.02115529775619507
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,1,5,3500,0.03571428571428572,0.227670248696953,-0.014178156852722168
20,DE_seq_stop,1,2,2800,0.11071428571428571,0.31546487678572877,-0.0026569366455078125
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0006602246686858004,0.0,0.08543282747268677
20,ggpp,0,5,2,0.00377284492901404,0.0,0.06975370645523071
20,DE_fixed,0,5,800,0.0021861576225124923,0.0,-0.031135737895965576
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,3400,0.00419150521609538,0.0,0.009780794382095337
20,DE_seq_stop,0,5,11880,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,1,5,67,0.06551724137931035,0.2890648263178879,-0.0051351189613342285
20,ggpp,1,5,1,0.021072796934865898,0.23540891336663824,-0.12527769804000854
20,DE_fixed,1,5,800,0.048850574712643674,0.27023815442731974,-0.059377312660217285
20,DE_seq,1,1,160,0.015517241379310348,0.227670248696953,0.0008026957511901855
20,DE_fixed_stop,1,5,200,0.16551724137931034,0.38685280723454163,-0.06754797697067261
20,DE_seq_stop,1,1,80,0.015517241379310348,0.227670248696953,0.0008026957511901855
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0014826986086939613,0.0,0.058522820472717285
20,ggpp,0,5,2,0.01290796756930568,0.0,0.08891165256500244
20,DE_fixed,0,5,800,0.021142486673390002,0.0,0.1010863184928894
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,2200,0.021142486673390002,0.0,0.1010863184928894
20,DE_seq_stop,0,5,9260,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.008010680907877168,0.0,0.12268894910812378
20,ggpp,0,5,2,0.004914886515353805,0.0,0.10654711723327637
20,DE_fixed,0,5,800,0.01479391877341832,0.0,0.12929075956344604
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,3500,0.021920700468842178,0.0,0.21044158935546875
20,DE_seq_stop,1,4,7020,0.1236648865153538,0.31546487678572877,0.09314823150634766
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0011157772123961624,0.0,-0.02398049831390381
20,ggpp,1,5,2,0.07494287890327495,0.26264953503719357,0.07558894157409668
20,DE_fixed,0,5,800,0.002921762764511745,0.0,-0.024284303188323975
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,1,5,6500,0.06468646864686468,0.25,-0.0262606143951416
20,DE_seq_stop,1,5,12380,0.06468646864686468,0.25,-0.0262606143951416
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.007298569096321907,0.0,0.28044363856315613
