top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0023147169492241998,0.0,-0.02391117811203003
10,ggpp,0,5,2,0.00558043776638012,0.0,-0.006414294242858887
10,DE_fixed,0,5,800,0.0025141143260409317,0.0,-0.01660633087158203
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,3000,0.012857937169863776,0.0,-0.03958725929260254
10,DE_seq_stop,0,5,9480,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.004033663292922552,0.0,0.16970229148864746
10,ggpp,0,5,6,0.0033675943804081423,0.0,0.09113124012947083
10,DE_fixed,0,5,800,0.03708979634905561,0.0,0.17359566688537598
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,4000,0.04862825788751715,0.227670248696953,0.1759796142578125
10,DE_seq_stop,1,3,4380,0.1652949245541838,0.3562071871080222,0.22723937034606934
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.008151105465323775,0.0,0.1791800856590271
10,ggpp,0,5,2,0.060942367601246106,0.24465054211822604,0.1088758111000061
10,DE_fixed,1,5,800,0.16510903426791276,0.3562071871080222,0.06313425302505493
10,DE_seq,1,3,960,0.10955347871235721,0.3010299956639812,0.16217654943466187
10,DE_fixed_stop,1,5,300,0.16510903426791276,0.3562071871080222,0.06313425302505493
10,DE_seq_stop,1,3,2100,0.10955347871235721,0.3010299956639812,0.16217654943466187
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.005799194677871149,0.0,0.07502138614654541
10,ggpp,0,5,5,0.04285037878787879,0.0,-0.09361270070075989
10,DE_fixed,0,5,800,0.04285037878787879,0.0,-0.11942934989929199
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,4400,0.0390625,0.0,0.021775901317596436
10,DE_seq_stop,0,5,15900,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.057386747802569305,0.23981246656813146,-0.016525566577911377
10,ggpp,0,5,2,0.05119479733817302,0.23137821315975915,0.193609356880188
10,DE_fixed,1,5,800,0.1235632183908046,0.31546487678572877,0.13577395677566528
10,DE_seq,1,5,2400,0.1235632183908046,0.31546487678572877,0.13577395677566528
10,DE_fixed_stop,1,5,400,0.1235632183908046,0.31546487678572877,0.13577395677566528
10,DE_seq_stop,1,3,3400,0.1235632183908046,0.31546487678572877,0.0982353687286377
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.010582010582010581,0.0,-0.03446817398071289
10,ggpp,0,5,3,0.001978114478114478,0.0,-0.12493449449539185
10,DE_fixed,1,5,800,0.1962962962962963,0.38685280723454163,-0.08365398645401001
10,DE_seq,1,5,2400,0.1962962962962963,0.38685280723454163,-0.08365398645401001
10,DE_fixed_stop,1,5,500,0.1962962962962963,0.38685280723454163,-0.08365398645401001
10,DE_seq_stop,1,5,6340,0.1962962962962963,0.38685280723454163,-0.08365398645401001
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.020284237726098192,0.0,0.027963221073150635
10,ggpp,0,5,2,0.04568106312292358,0.0,0.14066380262374878
10,DE_fixed,1,5,800,0.14091915836101881,0.3333333333333333,0.07218259572982788
10,DE_seq,1,4,1600,0.49806201550387597,0.6309297535714575,0.028157293796539307
10,DE_fixed_stop,1,5,400,0.14091915836101881,0.3333333333333333,0.07218259572982788
10,DE_seq_stop,1,2,1300,0.14091915836101881,0.3333333333333333,0.0911450982093811
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.010816283034953113,0.0,-0.04046446084976196
10,ggpp,1,5,2,0.24632352941176472,0.43067655807339306,0.0013904571533203125
10,DE_fixed,0,5,800,0.05187908496732026,0.23540891336663824,0.0007838010787963867
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,1,5,4300,0.19632352941176473,0.38685280723454163,0.01594310998916626
10,DE_seq_stop,1,5,11960,0.19632352941176473,0.38685280723454163,0.01594310998916626
10,none,0,0,0,0.0,0.0,0.0
10,random,1,5,37,0.10775862068965517,0.31546487678572877,-0.07903087139129639
10,ggpp,1,5,1,0.3160919540229885,0.5,-0.05349910259246826
10,DE_fixed,1,5,800,0.09386973180076627,0.3010299956639812,-0.01898062229156494
10,DE_seq,1,2,480,0.4827586206896552,0.6309297535714575,-0.11346739530563354
10,DE_fixed_stop,1,5,200,0.09386973180076627,0.3010299956639812,-0.01898062229156494
10,DE_seq_stop,1,1,180,0.14942528735632182,0.3562071871080222,-0.09195578098297119
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.08222958057395142,0.27023815442731974,0.3632885217666626
10,ggpp,0,5,2,0.07581932416369502,0.26264953503719357,0.5832127332687378
10,DE_fixed,1,5,800,0.0988962472406181,0.2890648263178879,0.4561799466609955
10,DE_seq,1,3,960,0.4988962472406181,0.6309297535714575,0.5504550933837891
10,DE_fixed_stop,1,5,800,0.0988962472406181,0.2890648263178879,0.4561799466609955
10,DE_seq_stop,1,3,2060,0.4988962472406181,0.6309297535714575,0.5504550933837891
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.006944444444444444,0.0,-0.010572731494903564
10,ggpp,1,5,4,0.1597222222222222,0.3562071871080222,-0.1290227770805359
10,DE_fixed,0,5,800,0.015277777777777779,0.0,-0.1793142557144165
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,5900,0.06448412698412698,0.2559580248098155,-0.13131332397460938
10,DE_seq_stop,1,4,4120,0.3263888888888889,0.5,-0.14285987615585327
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.013228885660925505,0.0,0.0504191517829895
10,ggpp,0,5,2,0.006094702297233943,0.0,0.015318632125854492
10,DE_fixed,0,5,800,0.01570336756627657,0.0,0.02681344747543335
10,DE_seq,1,4,1600,0.10794655414908579,0.3010299956639812,0.07792508602142334
10,DE_fixed_stop,1,5,2800,0.16350210970464135,0.3562071871080222,0.08462005853652954
10,DE_seq_stop,1,4,3560,0.10794655414908579,0.3010299956639812,0.07792508602142334
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.00018043556711116126,0.0,0.10164812207221985
10,ggpp,0,5,2,0.00022075448978954733,0.0,0.10919079184532166
10,DE_fixed,0,5,800,0.0004478998333100053,0.0,0.06755897402763367
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,6900,0.0024153188168101972,0.0,0.03143298625946045
10,DE_seq_stop,0,5,18380,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.008028656126482212,0.0,0.020395100116729736
10,ggpp,0,5,2,0.00405564263322884,0.0,0.07199865579605103
10,DE_fixed,0,5,800,0.004851398601398602,0.0,-0.07458072900772095
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,2800,0.004851398601398602,0.0,-0.07458072900772095
10,DE_seq_stop,0,5,8320,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.06067184643510055,0.24465054211822604,0.12572652101516724
10,ggpp,0,5,4,0.06960041786367198,0.2559580248098155,0.20619112253189087
10,DE_fixed,1,5,800,0.1410289892922434,0.3333333333333333,0.13846689462661743
10,DE_seq,1,4,1600,0.09817184643510056,0.2890648263178879,0.08285140991210938
10,DE_fixed_stop,1,5,800,0.1410289892922434,0.3333333333333333,0.13846689462661743
10,DE_seq_stop,1,3,3200,0.1648385131017672,0.3562071871080222,0.14383745193481445
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0014513712866924802,0.0,0.051275670528411865
10,ggpp,0,5,2,0.031669439822518027,0.0,0.012411117553710938
10,DE_fixed,0,5,800,0.0018948253503946564,0.0,0.024513423442840576
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,5200,0.003800587363501632,0.0,0.002544581890106201
10,DE_seq_stop,0,5,12480,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0013998604446818223,0.0,0.04019656777381897
10,ggpp,0,5,3,0.00010968703427719829,0.0,0.1410728394985199
10,DE_fixed,0,5,800,0.0002827366796672691,0.0,0.14800426363945007
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,5300,0.0029541314787216427,0.0,0.131644606590271
10,DE_seq_stop,0,5,13340,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.005635859944911453,0.0,0.06864872574806213
10,ggpp,0,5,4,0.033315897477165735,0.0,0.09800025820732117
10,DE_fixed,0,5,800,0.01445813885647608,0.0,0.12161359190940857
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,4600,0.020572269291258688,0.0,0.18976137042045593
10,DE_seq_stop,0,5,17120,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0032916817266484223,0.0,0.00927954912185669
10,ggpp,0,5,2,0.034333070244672456,0.0,0.12587344646453857
10,DE_fixed,1,5,800,0.4986187845303867,0.6309297535714575,0.010339140892028809
10,DE_seq,1,5,2400,0.4986187845303867,0.6309297535714575,0.010339140892028809
10,DE_fixed_stop,1,5,500,0.4986187845303867,0.6309297535714575,0.010339140892028809
10,DE_seq_stop,1,5,5920,0.4986187845303867,0.6309297535714575,0.010339140892028809
10,none,0,0,0,0.0,0.0,0.0
10,random,1,5,92,0.16563997262149213,0.3562071871080222,0.444017618894577
10,ggpp,1,5,3,0.19897330595482549,0.38685280723454163,0.5086642503738403
10,DE_fixed,1,5,800,0.4989733059548255,0.6309297535714575,0.464331716299057
10,DE_seq,1,1,160,0.12397330595482546,0.31546487678572877,0.5088975429534912
10,DE_fixed_stop,1,5,200,0.4989733059548255,0.6309297535714575,0.464331716299057
10,DE_seq_stop,1,1,120,0.12397330595482546,0.31546487678572877,0.5088975429534912
10,none,0,0,0,0.0,0.0,0.0
