top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.00949782310490845,0.0,-0.07495731115341187
20,greedy,1,5,1,0.051259836834885567,0.23137821315975915,-0.11236128211021423
20,ggpp,1,5,2,0.07005682931608857,0.2559580248098155,0.06396609544754028
20,DE_fixed,0,5,800,0.02987825788751715,0.0,-0.042932331562042236
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,1,5,2900,0.051259836834885567,0.23137821315975915,-0.06242823600769043
20,DE_seq_stop,1,4,7300,0.08953734879660806,0.27894294565112987,0.18703019618988037
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.008576963016215354,0.0,0.044692397117614746
20,greedy,1,5,1,0.05159315734819916,0.23137821315975915,-0.04994535446166992
20,ggpp,0,5,5,0.012475091914344252,0.0,0.09590989351272583
20,DE_fixed,0,5,800,0.001545557728996112,0.0,0.01886671781539917
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,4300,0.00620795521242494,0.0,0.03584319353103638
20,DE_seq_stop,0,5,15680,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,1,5,13,0.07981220657276995,0.27023815442731974,-0.05251818895339966
20,greedy,1,5,1,0.32981220657276994,0.5,-0.13082504272460938
20,ggpp,1,5,2,0.05530240265120132,0.23981246656813146,-0.021272897720336914
20,DE_fixed,1,5,800,0.24647887323943662,0.43067655807339306,0.07629716396331787
20,DE_seq,1,4,1600,0.12147887323943662,0.31546487678572877,-0.05207979679107666
20,DE_fixed_stop,1,5,200,0.24647887323943662,0.43067655807339306,0.07629716396331787
20,DE_seq_stop,1,2,1320,0.05203442879499217,0.23540891336663824,-0.009703457355499268
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.03205557415467024,0.0,0.04111635684967041
20,greedy,1,5,1,0.060072815533980584,0.24465054211822604,-0.045691609382629395
20,ggpp,1,5,3,0.060072815533980584,0.24465054211822604,0.02934849262237549
20,DE_fixed,1,5,800,0.08090614886731391,0.27023815442731974,0.010839998722076416
20,DE_seq,1,5,2400,0.08090614886731391,0.27023815442731974,0.010839998722076416
20,DE_fixed_stop,1,5,600,0.08090614886731391,0.27023815442731974,0.010839998722076416
20,DE_seq_stop,1,3,2560,0.08090614886731391,0.27023815442731974,0.05893152952194214
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0008268824771287824,0.0,-0.017573654651641846
20,greedy,0,5,5,0.021003134796238245,0.0,0.0011911988258361816
20,ggpp,0,5,4,0.004727474972191324,0.0,-0.08850029110908508
20,DE_fixed,0,5,800,0.007535121328224776,0.0,-0.12358582019805908
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,5000,0.009770114942528735,0.0,0.03281688690185547
20,DE_seq_stop,0,5,16680,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0027721774193548393,0.0,-0.1341455578804016
20,greedy,1,5,1,0.059895833333333336,0.24465054211822604,-0.04977858066558838
20,ggpp,0,5,4,0.022395833333333334,0.0,0.025099635124206543
20,DE_fixed,0,5,800,0.007199754901960785,0.0,-0.06598693132400513
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,4900,0.013789275956284154,0.0,-0.051219165325164795
20,DE_seq_stop,0,5,14480,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0010686118499761885,0.0,0.03485482931137085
20,greedy,1,5,2,0.04708454810495627,0.227670248696953,-0.07214754819869995
20,ggpp,0,5,2,0.003072572057052077,0.0,0.027732431888580322
20,DE_fixed,0,5,800,0.004330924916550471,0.0,0.0566217303276062
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,4700,0.01403370064732915,0.0,0.03428870439529419
20,DE_seq_stop,0,5,11920,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0003539400256226523,0.0,-0.036875009536743164
20,greedy,1,5,1,0.07561588738059327,0.26264953503719357,-0.08036470413208008
20,ggpp,1,5,1,0.19869281045751636,0.38685280723454163,0.12873172760009766
20,DE_fixed,0,5,800,0.010320717434260525,0.0,0.04626750946044922
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,1,5,3500,0.05424836601307189,0.23540891336663824,-0.05804169178009033
20,DE_seq_stop,1,3,3440,0.04869281045751634,0.227670248696953,0.010424315929412842
20,none,0,0,0,0.0,0.0,0.0
20,random,1,5,29,0.07874617737003058,0.27023815442731974,-0.020109117031097412
20,greedy,1,5,1,0.24541284403669725,0.43067655807339306,-0.018706679344177246
20,ggpp,1,5,1,0.04541284403669725,0.227670248696953,0.01416480541229248
20,DE_fixed,1,5,800,0.24541284403669725,0.43067655807339306,0.018876850605010986
20,DE_seq,1,3,960,0.05423637344846195,0.23981246656813146,0.0038408637046813965
20,DE_fixed_stop,1,5,200,0.9954128440366973,1.0,0.04525923728942871
20,DE_seq_stop,1,1,240,0.05791284403669725,0.24465054211822604,0.01903402805328369
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0002762178155407259,0.0,0.06709647178649902
20,greedy,0,5,5,0.002705008804894432,0.0,-0.08163213729858398
20,ggpp,0,5,3,0.0008411122472540161,0.0,-0.1834038496017456
20,DE_fixed,0,5,800,9.646693558680087e-05,0.0,-0.11050540208816528
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,4600,0.00014482928633058052,0.0,-0.10338696837425232
20,DE_seq_stop,0,5,14620,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.013501350135013503,0.0,0.01592254638671875
20,greedy,1,5,1,0.09834983498349835,0.2890648263178879,-0.26245421171188354
20,ggpp,0,5,3,0.010849834983498351,0.0,0.08672523498535156
20,DE_fixed,0,5,800,0.0015549631886265548,0.0,0.06223654747009277
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,6000,0.030607899499627382,0.0,-0.020712614059448242
20,DE_seq_stop,0,5,15200,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0061671087533156504,0.0,-0.06126004457473755
20,greedy,1,5,5,0.04918330308529945,0.23137821315975915,-0.17515498399734497
20,ggpp,0,5,2,0.005247376311844078,0.0,-0.18544483184814453
20,DE_fixed,0,5,800,0.02094196804037006,0.0,-0.01128774881362915
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,2400,0.02094196804037006,0.0,-0.01128774881362915
20,DE_seq_stop,1,3,5000,0.24655172413793103,0.43067655807339306,0.002271711826324463
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.022639318885448914,0.0,0.01760125160217285
20,greedy,1,5,1,0.05514705882352941,0.23981246656813146,-0.02569127082824707
20,ggpp,0,5,2,0.04177807486631016,0.0,0.0674787163734436
20,DE_fixed,1,5,800,0.04632352941176471,0.227670248696953,0.013352274894714355
20,DE_seq,1,5,2400,0.04632352941176471,0.227670248696953,0.013352274894714355
20,DE_fixed_stop,1,5,300,0.04632352941176471,0.227670248696953,0.013352274894714355
