top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
1,none,0,0,0,-5.153257889637828e-05,0.0,0.0
1,random,1,5,2,0.9967637540453075,1.0,-0.015090584754943848
1,ggpp,0,5,2,0.1634304207119741,0.3562071871080222,0.05655241012573242
1,DE_fixed,0,5,800,0.1634304207119741,0.3562071871080222,0.0455775260925293
1,DE_seq,1,1,160,0.9967637540453075,1.0,-0.0022611021995544434
1,DE_fixed_stop,1,5,200,0.9967637540453075,1.0,-0.003834366798400879
1,DE_seq_stop,1,1,40,0.9967637540453075,1.0,-0.0022611021995544434
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0,0.0,-0.0333591103553772
1,ggpp,1,5,2,0.9984732824427481,1.0,0.02707195281982422
1,DE_fixed,0,5,800,0.0013551268231515496,0.0,-0.006979942321777344
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,1,5,3000,0.9984732824427481,1.0,-0.0246506929397583
1,DE_seq_stop,1,3,6600,0.9984732824427481,1.0,-0.136985182762146
1,none,0,0,0,0.0013445112306232204,0.0,0.0
1,random,0,5,150,0.4984709480122324,0.6309297535714575,-0.0037099123001098633
1,ggpp,1,5,1,0.9984709480122325,1.0,0.028202295303344727
1,DE_fixed,1,5,800,0.9984709480122325,1.0,0.0004112720489501953
1,DE_seq,1,2,480,0.9984709480122325,1.0,-0.004043459892272949
1,DE_fixed_stop,1,5,200,0.9984709480122325,1.0,0.0004112720489501953
1,DE_seq_stop,1,2,980,0.9984709480122325,1.0,-0.004043459892272949
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,137,0.0,0.0,-0.09012824296951294
1,ggpp,1,5,2,0.5,0.36907024642854247,0.009706735610961914
1,DE_fixed,0,5,800,0.0,0.0,-0.013331949710845947
1,DE_seq,1,1,160,0.5,0.36907024642854247,-0.12402993440628052
1,DE_fixed_stop,0,5,200,0.0,0.0,-0.013331949710845947
1,DE_seq_stop,1,1,80,0.5,0.36907024642854247,-0.12402993440628052
1,none,0,0,0,0.0005267175572519084,0.0,0.0
1,random,0,5,150,0.3323333333333333,0.5,-0.09213495254516602
1,ggpp,1,5,2,0.999,1.0,-0.006688117980957031
1,DE_fixed,1,5,800,0.999,1.0,-0.053781986236572266
1,DE_seq,1,5,2400,0.999,1.0,-0.053781986236572266
1,DE_fixed_stop,1,5,200,0.999,1.0,-0.053781986236572266
1,DE_seq_stop,1,2,1480,0.999,1.0,-0.007416844367980957
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,8,0.16348195329087048,0.3562071871080222,0.003902733325958252
1,ggpp,0,5,1,0.16348195329087048,0.3562071871080222,0.04596257209777832
1,DE_fixed,0,5,800,0.16348195329087048,0.3562071871080222,-0.02547907829284668
1,DE_seq,0,1,160,0.16348195329087048,0.3562071871080222,0.015326619148254395
1,DE_fixed_stop,0,5,200,0.16348195329087048,0.3562071871080222,0.0011444091796875
1,DE_seq_stop,0,1,40,0.16348195329087048,0.3562071871080222,0.015326619148254395
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,8,0.16348195329087048,0.3562071871080222,0.033048927783966064
1,ggpp,1,5,2,0.9968152866242038,1.0,-0.05423545837402344
