top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.000605925124126409,0.0,-0.1104426383972168
1,greedy,1,5,3,0.9978586723768736,1.0,0.0371127724647522
1,ggpp,0,5,4,0.02058594510414639,0.0,-0.06650751829147339
1,DE_fixed,0,5,800,0.0035083898909979553,0.0,-0.02863311767578125
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,3300,0.005434429952631237,0.0,-0.0943860411643982
1,DE_seq_stop,0,5,15720,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.03166585721223895,0.0,0.014001786708831787
1,greedy,1,5,1,0.9971830985915493,1.0,-0.014559388160705566
1,ggpp,1,5,4,0.9971830985915493,1.0,0.05276757478713989
1,DE_fixed,1,5,800,0.9971830985915493,1.0,0.11957919597625732
1,DE_seq,1,2,480,0.9971830985915493,1.0,0.12148898839950562
1,DE_fixed_stop,1,5,200,0.9971830985915493,1.0,0.11957919597625732
1,DE_seq_stop,1,1,240,0.9971830985915493,1.0,0.04750680923461914
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.005505055415127358,0.0,0.054867684841156006
1,greedy,1,5,2,0.9983108108108109,1.0,-0.04280334711074829
1,ggpp,1,5,2,0.9983108108108109,1.0,0.13291507959365845
1,DE_fixed,0,5,800,0.01393581081081081,0.0,0.11083829402923584
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,1,5,3400,0.9983108108108109,1.0,0.0895645022392273
1,DE_seq_stop,1,4,9040,0.9983108108108109,1.0,0.08246290683746338
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.071285140562249,0.27023815442731974,0.0629625916481018
1,greedy,1,5,1,0.9879518072289156,1.0,-0.03311312198638916
1,ggpp,1,5,2,0.9879518072289156,1.0,0.05376046895980835
1,DE_fixed,1,5,800,0.9879518072289156,1.0,0.07176560163497925
1,DE_seq,1,2,480,0.9879518072289156,1.0,0.02441185712814331
1,DE_fixed_stop,1,5,400,0.9879518072289156,1.0,0.07176560163497925
1,DE_seq_stop,1,2,1120,0.9879518072289156,1.0,0.02441185712814331
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.009925045231325924,0.0,-0.14803951978683472
1,greedy,0,5,5,0.32955974842767294,0.5,-0.07647937536239624
1,ggpp,0,5,3,0.07955974842767295,0.27023815442731974,0.032480716705322266
1,DE_fixed,0,5,800,0.01235544735240414,0.0,-0.05142861604690552
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,3500,0.058726415094339623,0.24465054211822604,-0.0364835262298584
1,DE_seq_stop,0,5,11120,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0005940902627632014,0.0,-0.06051814556121826
1,greedy,0,5,5,0.02172676196572079,0.0,-0.06464052200317383
1,ggpp,0,5,4,0.0023023656367534883,0.0,0.060796380043029785
1,DE_fixed,0,5,800,0.0005034683374356681,0.0,0.013456583023071289
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,3700,0.0012182007594851634,0.0,-0.14129912853240967
1,DE_seq_stop,0,5,12320,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.005792466240227435,0.0,-0.010187029838562012
1,greedy,1,5,1,0.996268656716418,1.0,-0.06371259689331055
1,ggpp,1,5,4,0.996268656716418,1.0,0.04777872562408447
1,DE_fixed,0,5,800,0.04172320217096337,0.0,-0.0467684268951416
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,7200,0.16293532338308456,0.3562071871080222,0.05467641353607178
1,DE_seq_stop,0,5,14840,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.006265954977953121,0.0,0.009418845176696777
1,greedy,1,5,4,0.9982014388489209,1.0,-0.04016995429992676
1,ggpp,0,5,3,0.08911052975801177,0.27894294565112987,0.04770535230636597
1,DE_fixed,0,5,800,0.030459503365049895,0.0,-0.044809818267822266
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,4900,0.14105858170606372,0.3333333333333333,0.04555404186248779
1,DE_seq_stop,0,5,13220,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.007353768278965129,0.0,0.04978245496749878
1,greedy,1,5,2,0.9984251968503937,1.0,-0.03554069995880127
1,ggpp,1,5,4,0.9984251968503937,1.0,0.020889759063720703
1,DE_fixed,0,5,800,0.019258530183727033,0.0,-0.04583728313446045
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,2900,0.0609251968503937,0.24465054211822604,-0.060530781745910645
1,DE_seq_stop,0,5,10780,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.008637307236061684,0.0,-0.09054678678512573
1,greedy,0,5,3,0.014887307236061685,0.0,-0.1465434432029724
1,ggpp,0,5,2,0.03270339919008467,0.0,-0.037734150886535645
1,DE_fixed,0,5,800,0.004799587937816071,0.0,0.02404499053955078
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,4800,0.01905397390272835,0.0,-0.035662949085235596
1,DE_seq_stop,0,5,14040,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,-1.4109521634305842e-05,0.0,-0.07111120223999023
1,greedy,0,5,4,0.002993890844358134,0.0,-0.13899201154708862
1,ggpp,0,5,2,0.0009797013301686198,0.0,0.06992155313491821
1,DE_fixed,0,5,800,-0.00013750869422703323,0.0,-0.03883880376815796
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,4000,0.0001485660405763571,0.0,-0.08279281854629517
1,DE_seq_stop,0,5,14560,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.000748806656826441,0.0,-0.08151817321777344
1,greedy,0,5,5,0.01048635446532866,0.0,-0.04563623666763306
1,ggpp,0,5,4,0.0025897907721665644,0.0,-0.04127669334411621
1,DE_fixed,0,5,800,0.0003576978633970686,0.0,-0.07611227035522461
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,4500,0.0021917808219178085,0.0,0.004930734634399414
1,DE_seq_stop,0,5,14680,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.028752800597460795,0.0,0.030443251132965088
1,greedy,1,5,1,0.9902912621359223,1.0,0.020189642906188965
1,ggpp,1,5,3,0.9902912621359223,1.0,0.054422974586486816
1,DE_fixed,0,5,800,0.024774020756611986,0.0,0.003499627113342285
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,5700,0.49029126213592233,0.6309297535714575,0.035263895988464355
1,DE_seq_stop,1,4,7500,0.9902912621359223,1.0,0.04179871082305908
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0055861760762699235,0.0,-0.0709151029586792
1,greedy,1,5,2,0.9987834549878345,1.0,0.03156358003616333
1,ggpp,0,5,4,0.0077924639968435586,0.0,0.1264324188232422
1,DE_fixed,0,5,800,0.005977699592151097,0.0,0.018769443035125732
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,4400,0.04423800044238001,0.0,0.09470731019973755
1,DE_seq_stop,0,5,13240,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.16468646864686468,0.3562071871080222,0.01909935474395752
1,greedy,1,5,1,0.998019801980198,1.0,0.010407090187072754
1,ggpp,0,5,4,0.07494287890327495,0.26264953503719357,0.015330195426940918
1,DE_fixed,0,5,800,0.16468646864686468,0.3562071871080222,0.016782402992248535
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,1,5,4000,0.998019801980198,1.0,0.07629358768463135
1,DE_seq_stop,1,2,1700,0.998019801980198,1.0,0.0568467378616333
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.017222222222222222,0.0,-0.0083082914352417
1,greedy,1,5,2,0.995,1.0,-0.07065403461456299
1,ggpp,1,5,5,0.995,1.0,0.05179953575134277
1,DE_fixed,0,5,800,0.06642857142857142,0.2559580248098155,-0.039186716079711914
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,6600,0.3283333333333333,0.5,0.017517685890197754
1,DE_seq_stop,0,5,16320,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0004120879120879119,0.0,-0.1441017985343933
1,greedy,0,5,7,0.0028255880665519215,0.0,-0.11262071132659912
1,ggpp,0,5,7,0.0018676277850589776,0.0,0.0459102988243103
1,DE_fixed,0,5,800,0.0005396276157521832,0.0,0.06470155715942383
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,5200,0.00079759538010035,0.0,0.057932257652282715
1,DE_seq_stop,0,5,14620,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0023524720893141945,0.0,0.014241158962249756
1,greedy,1,5,4,0.9978070175438597,1.0,0.013191282749176025
1,ggpp,0,5,7,0.005871533672891907,0.0,0.0076751708984375
1,DE_fixed,0,5,800,0.043261562998405105,0.0,-0.032096266746520996
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,4700,0.08871610845295055,0.27894294565112987,-0.059367597103118896
1,DE_seq_stop,0,5,15640,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.030055256869773,0.0,0.028600633144378662
1,greedy,1,5,2,0.998805256869773,1.0,0.047187745571136475
1,ggpp,0,5,4,0.01963859020310633,0.0,0.017870962619781494
