top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
1,none,1,0,0,0.0,0.0,0.0
1,random,1,5,3,0.0,0.0,-0.022226274013519287
1,ggpp,1,5,2,0.0,0.0,0.020040929317474365
1,DE_fixed,1,5,800,0.0,0.0,0.035687029361724854
1,DE_seq,1,1,140,0.0,0.0,0.017202436923980713
1,DE_fixed_stop,1,5,200,0.0,0.0,0.0008699297904968262
1,DE_seq_stop,1,1,40,0.0,0.0,-0.01604217290878296
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.005011399320342409,0.0,-0.13212692737579346
1,ggpp,0,5,1,0.00028993862403894617,0.0,0.09308391809463501
1,DE_fixed,0,5,800,0.00042083829518222847,0.0,-0.01087939739227295
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,10900,0.016382419463292375,0.0,-0.056762874126434326
1,DE_seq_stop,0,5,19060,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.006043956043956045,0.0,-0.09329265356063843
1,ggpp,1,5,2,0.9964285714285714,1.0,-0.02630758285522461
1,DE_fixed,0,5,800,0.05892857142857143,0.24465054211822604,0.009225726127624512
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,5600,0.07335164835164835,0.26264953503719357,-0.059912800788879395
1,DE_seq_stop,1,4,7740,0.9964285714285714,1.0,0.06800949573516846
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.00022060927910452516,0.0,0.017246723175048828
1,ggpp,0,5,2,0.0067607351642343435,0.0,0.021653056144714355
1,DE_fixed,0,5,800,0.001481734355536348,0.0,-0.11141753196716309
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,3100,0.004907399159425688,0.0,-0.04477053880691528
1,DE_seq_stop,0,5,11700,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,-3.5313851858391476e-05,0.0,-0.03862631320953369
1,ggpp,0,5,5,0.011239788131789209,0.0,0.04086798429489136
1,DE_fixed,0,5,800,0.0007092198581560283,0.0,-0.09586125612258911
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,2900,0.004991816693944353,0.0,-0.02194952964782715
1,DE_seq_stop,0,5,9300,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.004974013318174436,0.0,0.0873798131942749
1,ggpp,0,5,4,0.0473404255319149,0.227670248696953,0.0026196837425231934
1,DE_fixed,0,5,800,0.005092363516411017,0.0,0.0723268985748291
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,3900,0.016948268669169795,0.0,0.09287559986114502
1,DE_seq_stop,0,5,12360,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.002008818714155141,0.0,-0.08126050233840942
1,ggpp,0,5,4,0.3310131477184841,0.5,-0.08577877283096313
1,DE_fixed,0,5,800,0.008668825374161802,0.0,-0.13865351676940918
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,2300,0.008668825374161802,0.0,-0.13865351676940918
1,DE_seq_stop,0,5,11120,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0005520043277139294,0.0,0.005905270576477051
1,ggpp,0,5,1,0.003698652781221589,0.0,0.01920032501220703
1,DE_fixed,0,5,800,0.0006732393080469213,0.0,0.0009613633155822754
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,4400,0.011026403066718354,0.0,0.0463101863861084
1,DE_seq_stop,0,5,14780,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.004895700297999149,0.0,-0.03491008281707764
1,ggpp,0,5,3,0.026115859449192785,0.0,0.0022957324981689453
1,DE_fixed,0,5,800,0.06457739791073125,0.26264953503719357,-0.028361260890960693
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,5600,0.022137079608343976,0.0,-0.15681016445159912
1,DE_seq_stop,0,5,13840,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.003995730194449253,0.0,0.07152599096298218
1,ggpp,0,5,2,0.002608382802662349,0.0,-0.002549409866333008
1,DE_fixed,0,5,800,0.00380398299395838,0.0,-0.0071166157722473145
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,3700,0.01219917564153703,0.0,0.02822589874267578
1,DE_seq_stop,0,5,11120,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0022968834444244282,0.0,0.0057708024978637695
1,ggpp,0,5,4,0.007483437303544659,0.0,0.044728100299835205
1,DE_fixed,0,5,800,0.0013586754217477404,0.0,0.012521982192993164
