top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,3.447229806127815e-05,0.0,0.07000350952148438
10,ggpp,0,5,2,0.0014265372574886663,0.0,0.08634805679321289
10,DE_fixed,0,5,800,0.001556113736766148,0.0,-0.08662134408950806
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,4300,0.025260937153009103,0.0,-0.35799387097358704
10,DE_seq_stop,0,5,13440,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0026750814860986667,0.0,-0.03970658779144287
10,ggpp,0,5,3,0.0374937343358396,0.0,-0.030491292476654053
10,DE_fixed,0,5,800,0.08840282524493051,0.27894294565112987,-0.10517722368240356
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,2200,0.08840282524493051,0.27894294565112987,-0.10517722368240356
10,DE_seq_stop,0,5,13040,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,1,5,102,0.07662835249042145,0.3010299956639812,-0.021258115768432617
10,ggpp,1,5,2,0.07662835249042145,0.3010299956639812,0.01927804946899414
10,DE_fixed,1,5,800,0.07662835249042145,0.3010299956639812,0.005799353122711182
10,DE_seq,1,1,160,0.07662835249042145,0.3010299956639812,-0.09666645526885986
10,DE_fixed_stop,1,5,200,0.07662835249042145,0.3010299956639812,0.005799353122711182
10,DE_seq_stop,1,1,40,0.07662835249042145,0.3010299956639812,-0.09666645526885986
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0006997881867174304,0.0,-0.1414473056793213
10,ggpp,0,5,4,0.012008830022075055,0.0,-0.08917677402496338
10,DE_fixed,0,5,800,0.007934755948000981,0.0,-0.0034288763999938965
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,2800,0.007934755948000981,0.0,-0.0034288763999938965
10,DE_seq_stop,0,5,9060,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.00941956407688272,0.0,0.034126877784729004
10,ggpp,1,5,7,0.2479253112033195,0.43067655807339306,-0.01182413101196289
10,DE_fixed,0,5,800,0.005558898989579043,0.0,-0.03246515989303589
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,4900,0.02173483501284331,0.0,-0.06472247838973999
10,DE_seq_stop,0,5,15720,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0006009152659259285,0.0,0.10806012153625488
