dataset,loss,query,orig_answer_id,orig_answer_excerpt,tgt_id,tgt_excerpt,suffix,suffix_len,suffix_token_ids,baseline_rank,final_rank,delta_rank,delta_cos,delta_ndcg,success,iter_used,pos_rank,pos_excerpt
fever,hinge,"Los Angeles was incorporated as a country on April 4, 1850.",Los_Angeles,"Los Angeles ( -LSB- lɒs_ˈændʒəlᵻs -RSB- , Spanish for `` The Angels '' ; -LSB- los ˈaŋxeles -RSB- ) , officially the Cit",Olle_Nordin,"Olle Nordin ( born 23 November 1949 in Delary , Småland ) is a Swedish football coach and former player . He was capped ",##mage 1994 continue stadion enlarged,5,"[26860, 2807, 3613, 20756, 11792]",100,18,82,0.024504244327545166,0.08521843014295027,0,6300,,
fever,hinge,Jensen Ackles was nominated for several Daytime Emmy Awards.,Jensen_Ackles,"Jensen Ross Ackles ( born March 1 , 1978 ) is an American actor and director . He is known for his roles in television a",Embrace_discography,"The discography of the English rock band , Embrace . The band 's highest charting single is `` Nature 's Law '' , which ",##↓ contribute ##ons drowning brave,5,"[30114, 9002, 5644, 14759, 9191]",100,122,-22,-0.0851442813873291,-0.006150452881520774,0,3600,,
fever,hinge,Steve Buscemi the film Trees Lounge's director.,Steve_Buscemi,"Steven Vincent Buscemi ( -LSB- buːˈsɛmi -RSB- born December 13 , 1957 ) is an American actor and film director . Buscemi",Kadapra-Koipuram,"Kadapra is a beautiful place in Koipuram Panchayath of Pathanamthitta District , Kerala , India . The main attraction of",##hul ##apes ] ##erine holes,5,"[21886, 29040, 1033, 24226, 8198]",100,82,18,-0.12540298700332642,0.006671291635753029,0,5000,,
fever,hinge,The Underworld film series has grossed a total of $539 million.,Underworld_(film_series),"Underworld is a series of action horror films directed by Len Wiseman , Patrick Tatopoulos , Måns Mårlind , Björn Stein ",1717_in_Wales,This article is about the particular significance of the year 1717 to Wales and its people .,staples reprinted appendix [unused42] alison,5,"[24533, 13603, 22524, 43, 12684]",100,1,99,0.026318609714508057,0.849809516776312,1,1900,,
fever,hinge,Aneurin Barnard's birth year is 1987.,Aneurin_Barnard,Aneurin Barnard ( born 8 May 1987 ) is a Welsh stage and screen actor . He is best known for his roles as Davey in Hunky,Tumi_Kar,"Tumi Kar ? ( 2008 ) is a Bengali Movie was released in 2008 . Directed by Gobinda Chandra Haldar , the movie featured Ar",chloride gp pretended pp dilapidated,5,"[19057, 14246, 14688, 4903, 29283]",100,2,98,0.02666604518890381,0.48073927034776953,0,3900,,
fever,hinge,Claudia Leitte is on The Voice Brasil as a coach and mentor.,Claudia_Leitte,"Cláudia Cristina Leite Inácio Pedreira ( -LSB- ˈklawdʒɐ ˈlejtʃi -RSB- ; born 10 July 1980 ) is a Brazilian singer , song",Mukesh_Ambani,"Mukesh Dhirubhai Ambani ( born 19 April 1957 ) is an Indian business magnate who is the chairman , managing director and",ruth evelyn kurdistan treaty granite,5,"[7920, 12903, 23627, 5036, 9753]",100,36,64,-0.055495381355285645,0.04176823678287217,0,4300,,
fever,hinge,AC/DC has at least eight albums including For Those About to Rock We Salute You.,AC/DC,"AC/DC are an Australian rock band , formed in 1973 by brothers Malcolm and Angus Young . A hard rock/blues rock band , t",Zendesk,"Zendesk Inc. is a global customer service software company headquartered in San Francisco , California . Zendesk builds ",bacterium essence ##tock [unused293] harden,5,"[24024, 11305, 17406, 298, 28751]",100,38,62,-0.046266376972198486,0.03900987629318206,0,4900,,
fever,hinge,"R. Kelly is acknowledged for his hit single ""Bump N' Grind.""",R._Kelly,"Robert Sylvester Kelly ( born January 8 , 1967 ) , known professionally as R. Kelly , is an American singer , songwriter",Shirley_MacLaine,"Shirley MacLaine ( born Shirley MacLean Beaty ; April 24 , 1934 ) is an American film , television and theater actress ,",biotechnology 2001 ##sha purchases auschwitz,5,"[20353, 2541, 7377, 17402, 24363]",100,41,59,-0.15280169248580933,0.035258540191680926,0,3800,,
fever,hinge,"Sherrybaby was screened on January 25th, 2006.",Sherrybaby,Sherrybaby is a 2006 American drama film written and directed by Laurie Collyer . Screened at the Sundance Film Festival,Life_Goes_On_(Donell_Jones_album),Life Goes On is the third studio album by R&B singer Donell Jones . Jones was picking up where he left off in 1999 with ,pastoral incompatible ##ா reflects roar,5,"[13645, 25876, 29931, 11138, 11950]",100,1,99,0.0015597343444824219,0.849809516776312,1,4300,,
fever,hinge,Richard Nixon's wife's had no name.,Richard_Nixon,"Richard Milhous Nixon ( January 9 , 1913 -- April 22 , 1994 ) was an American politician who served as the 37th Presiden",High-throughput,High-throughput may refer to :   High-throughput computing -- a computer science concept ( see also throughput )  High-t,ict cupping guido oriented undergraduate,5,"[25891, 25076, 20239, 8048, 8324]",100,84,16,-0.06927597522735596,0.005830581798537043,0,6000,,
