dataset,loss,query,orig_answer_id,orig_answer_excerpt,tgt_id,tgt_excerpt,suffix,suffix_len,suffix_token_ids,baseline_rank,final_rank,delta_rank,delta_cos,delta_ndcg,success,iter_used,pos_rank,pos_excerpt
scifact,hinge,The density of cytokine receptor bearing cells has no effect on the distance over which cytokines act.,4928282,"&NA; Immune cells communicate by exchanging cytokines to achieve a context‐appropriate response, but the distances over ",29399239,Neutrophil extracellular traps (NETs) are made of processed chromatin bound to granular and selected cytoplasmic protein,converse behaviour excitedly syllables homeland,5,"[23705, 9164, 23885, 20732, 10759]",100,17,83,-0.06405234336853027,0.08962198334444349,0,2500,,
scifact,hinge,CCL19 is a ligand for CCR7.,2177022,Chemokines orchestrate immune cell trafficking by eliciting either directed or random migration and by activating integr,8698857,TNF expression of macrophages is under stringent translational control that depends on the p38 MAPK/MK2 pathway and the ,baltic 長 ##chus ##ead wnba,5,"[11275, 1967, 16194, 13775, 25554]",100,29,71,-0.08514845371246338,0.05360456386681822,0,3100,,
scifact,hinge,A deficiency of vitamin B6 decreases blood levels of homocysteine.,5152028,"BACKGROUND Homocysteine is a risk factor for coronary artery disease (CAD), although a causal relation remains to be pro",198309074,"Introduction: Among the inflammatory mediators involved in the pathogenesis of obesity, the cell adhesion molecules Psel",##з bal vocalist ##三 eager,5,"[29744, 28352, 8032, 30267, 9461]",100,1,99,-0.039473772048950195,0.849809516776312,1,4700,,
scifact,hinge,Healthy volunteers exhibit rapid and transient increase of cellular ATP after being bolus-injected with fructose.,10883736,CONTEXT The mechanisms that drive progression from fatty liver to steatohepatitis and cirrhosis are unknown. In animal m,2158500,We investigated whether or not administered leptin influences anxiety-like behavior in ob/ob mice. Repeated intraperiton,evangelist tumbling rodeo assignment beard,5,"[24036, 21552, 18936, 8775, 10154]",100,1,99,-0.062351107597351074,0.849809516776312,1,3900,,
scifact,hinge,Gastric infection with Helicobacter pylori decreases risk of gastric cancer in humans.,2052720,OBJECTIVE To investigate the association between gastric cancer and prior infection with Helicobacter pylori. DESIGN Cas,29399239,Neutrophil extracellular traps (NETs) are made of processed chromatin bound to granular and selected cytoplasmic protein,reporter nicaragua cmll sgt ##idae,5,"[6398, 15448, 25395, 17001, 6096]",100,20,80,-0.08671671152114868,0.07747976547326502,0,3000,,
scifact,hinge,Expression of oncolytic virus antigens as peptides permits additional protection against relapse.,1921218,Tumor recurrence represents a major clinical challenge. Our data show that emergent recurrent tumors acquire a phenotype,31884697,Background  Spinocerebellar ataxia type 1 (SCA1) is a dominantly inherited neurodegenerative disorder characterized by p,wyatt ##ase 41 depict acceptable,5,"[12986, 11022, 4601, 17120, 11701]",100,1,99,-0.0077841877937316895,0.849809516776312,1,200,,
scifact,hinge,Chenodeoxycholic acid treatment increases brown adipose tissue activity.,1568684,The interest in brown adipose tissue (BAT) as a target to combat metabolic disease has recently been renewed with the di,1241113,"Scribble (Scrib) is a conserved polarity protein required in Drosophila melanogaster for synaptic function, neuroblast d",##oge ##ulton ##uration ##iidae 26th,5,"[23884, 22145, 18924, 15648, 14935]",100,51,49,-0.09022456407546997,0.025234580358266562,0,3200,,
scifact,hinge,p75 NTR - associated cell death executor (NADE) interacts with the p75 NTR death domain,14706752,The multifunctional signaling protein p75 neurotrophin receptor (p75(NTR)) is a central regulator and major contributor ,14446279,"In the yeast Saccharomyces cerevisiae that lacks lamins, the nuclear pore complex (NPC) has been proposed to serve a rol",##4 influx ##bert { arun,5,"[2549, 18050, 8296, 1063, 28217]",100,3,97,-0.03558456897735596,0.349809516776312,0,5000,,
scifact,hinge,Beta-band coherence is enhanced for visible stimuli over invisible stimuli.,1710116,We compared conscious and nonconscious processing of briefly flashed words using a visual masking procedure while record,10765888,Neurogenesis is known to take place in the adult brain. This work identifies T lymphocytes and microglia as being import,gut clenching tee ##eto ##fr,5,"[9535, 23970, 17170, 18903, 19699]",100,1,99,0.057367920875549316,0.849809516776312,1,2300,,
scifact,hinge,There is a positive correlation between hip fractures and statin use.,4687948,CONTEXT Recent animal studies have found that 3-hydroxy-3-methylglutaryl coenzyme A (HMG-CoA) lipid-lowering drugs (stat,13000926,Cold injury is a tissue trauma produced by exposure to freezing temperatures and even brief exposure to a severely cold ,luck forge olsen clover chromosomes,5,"[6735, 15681, 18997, 25133, 26874]",100,10,90,-0.001954793930053711,0.1388743430941999,0,3700,,
