top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0004012508325954777,0.0,0.04131883382797241
1,ggpp,0,5,3,0.024868611470789854,0.0,-0.029996156692504883
1,DE_fixed,0,5,800,0.01468185425517016,0.0,0.1064910888671875
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,3200,0.018960985262411766,0.0,0.07760649919509888
1,DE_seq_stop,1,4,13840,0.9985528219971056,1.0,0.04403650760650635
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.009868421052631582,0.013272328958466889,-0.014720439910888672
1,ggpp,1,5,3,0.9473684210526316,0.7686217868402409,0.06564831733703613
1,DE_fixed,0,5,800,0.2807017543859649,0.26862178684024085,0.03681910037994385
1,DE_seq,1,3,960,0.9473684210526316,0.7686217868402409,0.04774153232574463
1,DE_fixed_stop,1,5,1000,0.9473684210526316,0.7686217868402409,0.05233120918273926
1,DE_seq_stop,1,3,2540,0.9473684210526316,0.7686217868402409,0.04774153232574463
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0009756070366354378,0.0,-0.1495404839515686
1,ggpp,0,5,3,0.0011815255687614384,0.0,-0.13122785091400146
1,DE_fixed,0,5,800,0.0011756200104499554,0.0,-0.07331651449203491
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,2400,0.0011756200104499554,0.0,-0.07331651449203491
1,DE_seq_stop,0,5,10300,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.002943722943722944,0.0,0.015953898429870605
1,ggpp,0,5,4,0.04363636363636364,0.0,0.006784498691558838
1,DE_fixed,0,5,800,0.00564450474898236,0.0,0.07370376586914062
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,2800,0.00564450474898236,0.0,0.07370376586914062
1,DE_seq_stop,0,5,11700,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0022428839409509827,0.0,0.039392173290252686
1,ggpp,0,5,8,0.004620700739312119,0.0,0.02126830816268921
1,DE_fixed,0,5,800,0.00367801597309794,0.0,0.0451810359954834
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,2700,0.00367801597309794,0.0,0.0451810359954834
1,DE_seq_stop,0,5,10420,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,1.292791395180468e-06,0.0,0.02554631233215332
1,ggpp,0,5,5,0.24886363636363637,0.43067655807339306,0.23960626125335693
1,DE_fixed,0,5,800,0.00039973467392822237,0.0,0.039359211921691895
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,4100,0.0003673957621326044,0.0,0.1285083293914795
1,DE_seq_stop,0,5,11680,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.00149114522877384,0.0,-0.05207419395446777
1,ggpp,0,5,3,0.03734171763287105,0.0,0.14059937000274658
1,DE_fixed,0,5,800,0.004904275556874756,0.0,0.08069497346878052
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,2200,0.004904275556874756,0.0,0.08069497346878052
1,DE_seq_stop,0,5,7860,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0015290735862249186,0.0,-0.012265801429748535
1,ggpp,0,5,3,0.08206911083017278,0.27023815442731974,0.05628746747970581
1,DE_fixed,0,5,800,0.011893672233681547,0.0,-0.0025137662887573242
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,5500,0.018343620634094344,0.0,-0.004784941673278809
1,DE_seq_stop,0,5,12300,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.2488399071925754,0.43067655807339306,0.01902639865875244
1,ggpp,1,5,2,0.9988399071925754,1.0,0.04311692714691162
1,DE_fixed,1,5,800,0.9988399071925754,1.0,-0.006235063076019287
1,DE_seq,1,3,960,0.9988399071925754,1.0,-0.07831841707229614
1,DE_fixed_stop,1,5,200,0.9988399071925754,1.0,0.00749439001083374
1,DE_seq_stop,1,2,1060,0.9988399071925754,1.0,-0.04374122619628906
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0007880517104484172,0.0,-0.029751360416412354
1,ggpp,0,5,4,0.004849923904188743,0.0,0.10911333560943604
1,DE_fixed,0,5,800,0.00014195398368045372,0.0,0.06889456510543823
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,3200,0.0033575429019370804,0.0,-0.054797351360321045
1,DE_seq_stop,0,5,11220,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,-8.593900393256883e-05,0.0,-0.03833740949630737
1,ggpp,0,5,6,0.02191199060269269,0.0,0.015767693519592285
1,DE_fixed,0,5,800,0.006505828137706695,0.0,-0.118366539478302
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,5200,0.027514231499051234,0.0,-0.017530620098114014
1,DE_seq_stop,0,5,13860,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.03183183183183183,0.0,0.03483086824417114
1,ggpp,0,5,3,0.1234984984984985,0.31546487678572877,-0.00548863410949707
1,DE_fixed,0,5,800,0.015739877808843325,0.0,0.045749545097351074
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,2900,0.1234984984984985,0.31546487678572877,-0.10991555452346802
1,DE_seq_stop,0,5,11040,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.004683318465655664,0.0,-0.030267059803009033
1,ggpp,0,5,7,0.10263653483992466,0.3010299956639812,-0.017986178398132324
1,DE_fixed,0,5,800,0.006910039113428945,0.0,-0.0008102655410766602
