top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
20,none,1,0,0,0.3305164319248826,0.5,0.0
20,random,1,5,11,0.9971830985915493,1.0,-0.09830707311630249
20,ggpp,1,5,1,0.9971830985915493,1.0,0.005851447582244873
20,DE_fixed,1,5,800,0.9971830985915493,1.0,-0.11801046133041382
20,DE_seq,1,1,160,0.3305164319248826,0.5,0.017292320728302002
20,DE_fixed_stop,1,5,200,0.9971830985915493,1.0,-0.11801046133041382
20,DE_seq_stop,1,1,40,0.3305164319248826,0.5,0.02372366189956665
20,none,1,0,0,0.0,0.0,0.0
20,random,1,5,3,0.0,0.0,0.03868073225021362
20,ggpp,1,5,1,0.75,0.5693234419266069,0.04355740547180176
20,DE_fixed,1,5,500,0.0,0.0,0.016680657863616943
20,DE_seq,1,1,80,0.0,0.0,-0.004079997539520264
20,DE_fixed_stop,1,5,200,0.75,0.5693234419266069,-0.03014659881591797
20,DE_seq_stop,1,1,40,0.0,0.0,0.014159739017486572
20,none,0,0,0,0.0,0.0,0.0
20,random,1,5,2,0.9971910112359551,1.0,0.005254268646240234
20,ggpp,1,5,1,0.9971910112359551,1.0,0.01737499237060547
20,DE_fixed,1,5,600,0.24719101123595505,0.43067655807339306,0.020512938499450684
20,DE_seq,1,1,120,0.24719101123595505,0.43067655807339306,-0.004716157913208008
20,DE_fixed_stop,1,5,200,0.9971910112359551,1.0,-0.024860501289367676
20,DE_seq_stop,1,1,40,0.9971910112359551,1.0,0.024593710899353027
20,none,0,0,0,0.0016144937507166612,0.0,0.0
20,random,1,5,23,0.9985185185185185,1.0,0.016069114208221436
20,ggpp,1,5,2,0.9985185185185185,1.0,-0.14723241329193115
20,DE_fixed,1,5,800,0.9985185185185185,1.0,-0.002767801284790039
20,DE_seq,1,1,160,0.33185185185185184,0.5,0.008314847946166992
20,DE_fixed_stop,1,5,200,0.9985185185185185,1.0,-0.002767801284790039
20,DE_seq_stop,1,1,40,0.33185185185185184,0.5,0.008314847946166992
20,none,1,0,0,0.0,0.0,0.0
