top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0054770411840118945,0.0,-0.12141048908233643
10,ggpp,0,5,2,0.003982729755925632,0.0,0.08207327127456665
10,DE_fixed,0,5,800,0.006261932035127911,0.0,-0.03829050064086914
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,5900,0.07577760155079744,0.26264953503719357,-0.0337257981300354
10,DE_seq_stop,0,5,16620,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.04187031606386445,0.0,-0.004129469394683838
10,ggpp,1,5,4,0.13927291346646184,0.3333333333333333,0.033202946186065674
10,DE_fixed,1,5,800,0.496415770609319,0.6309297535714575,0.0346185564994812
10,DE_seq,1,3,960,0.1075268817204301,0.3010299956639812,-0.08500152826309204
10,DE_fixed_stop,1,5,200,0.496415770609319,0.6309297535714575,0.0346185564994812
10,DE_seq_stop,1,2,1360,0.1075268817204301,0.3010299956639812,-0.04959005117416382
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.005484790531519503,0.0,0.014678359031677246
10,ggpp,1,5,4,0.09613899613899614,0.2890648263178879,-0.00475621223449707
10,DE_fixed,1,5,800,0.12113899613899613,0.31546487678572877,-0.011569619178771973
10,DE_seq,1,5,2400,0.12113899613899613,0.31546487678572877,-0.011569619178771973
10,DE_fixed_stop,1,5,500,0.12113899613899613,0.31546487678572877,-0.011569619178771973
10,DE_seq_stop,1,4,6240,0.09613899613899614,0.2890648263178879,-0.046186864376068115
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0005074786324786324,0.0,0.06869864463806152
10,ggpp,1,5,4,0.16546474358974358,0.3562071871080222,0.12713027000427246
10,DE_fixed,0,5,800,0.002543395275136848,0.0,0.05874067544937134
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,4800,0.010034031979256699,0.0,0.022574305534362793
10,DE_seq_stop,1,3,2660,0.09879807692307693,0.2890648263178879,0.133111834526062
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0033924128330757516,0.0,0.04924732446670532
10,ggpp,1,5,4,0.14166239972691586,0.3333333333333333,0.11886405944824219
10,DE_fixed,0,5,800,0.000884258948775078,0.0,0.10677677392959595
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,5100,0.0035671616316777614,0.0,0.05318295955657959
10,DE_seq_stop,0,5,12860,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,2.4847644704836108e-05,0.0,0.01853632926940918
10,ggpp,0,5,4,0.03590581531758002,0.0,0.19773072004318237
10,DE_fixed,0,5,800,0.00021467330073141164,0.0,0.017670929431915283
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,6700,0.0012052268786738273,0.0,0.04136389493942261
10,DE_seq_stop,0,5,13780,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0004207662950276795,0.0,0.0448114275932312
10,ggpp,0,5,5,0.0542432195975503,0.23540891336663824,0.18568944931030273
10,DE_fixed,0,5,800,0.0001539397018187976,0.0,0.03525418043136597
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,6800,0.003613772416378987,0.0,0.044153034687042236
10,DE_seq_stop,0,5,14240,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0007215979064039409,0.0,0.039523422718048096
10,ggpp,1,5,5,0.19876847290640395,0.38685280723454163,0.12956249713897705
10,DE_fixed,1,5,800,0.19876847290640395,0.38685280723454163,0.10323601961135864
10,DE_seq,1,5,2400,0.19876847290640395,0.38685280723454163,0.10323601961135864
10,DE_fixed_stop,1,5,700,0.19876847290640395,0.38685280723454163,0.10323601961135864
10,DE_seq_stop,1,4,6720,0.10987958401751505,0.3010299956639812,0.06744146347045898
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.007123402472239681,0.0,0.025144457817077637
10,ggpp,1,5,4,0.1204954954954955,0.31546487678572877,0.05240046977996826
10,DE_fixed,0,5,800,0.051051051051051045,0.23540891336663824,-0.008750200271606445
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,2700,0.051051051051051045,0.23540891336663824,-0.008750200271606445
10,DE_seq_stop,1,3,5880,0.24549549549549549,0.43067655807339306,-0.07324099540710449
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0003990677334338392,0.0,0.052141785621643066
10,ggpp,0,5,2,0.009886531489190279,0.0,0.09624499082565308
10,DE_fixed,0,5,800,0.0053722101940470645,0.0,-0.003331899642944336
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,2600,0.0053722101940470645,0.0,-0.003331899642944336
10,DE_seq_stop,0,5,9460,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,-0.00020547436992616238,0.0,-0.02324533462524414
10,ggpp,0,5,4,0.0018474492322932148,0.0,0.06140679121017456
10,DE_fixed,0,5,800,-1.3130050966481122e-05,0.0,-0.056658148765563965
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,5900,8.397461167573687e-05,0.0,-0.012737035751342773
10,DE_seq_stop,0,5,13880,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0019584487801432558,0.0,0.0074898600578308105
10,ggpp,0,5,3,0.03465158645817519,0.0,0.09022939205169678
10,DE_fixed,0,5,800,0.00388779579339443,0.0,0.09988510608673096
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,5600,0.05449285629944503,0.23540891336663824,0.045819759368896484
10,DE_seq_stop,0,5,13040,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,-0.00029316674886295134,0.0,0.02267599105834961
10,ggpp,0,5,4,0.029441681735985534,0.0,0.025884389877319336
10,DE_fixed,0,5,800,0.00013720702781432731,0.0,-0.0008133649826049805
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,4800,0.002842844526683208,0.0,0.01843947172164917
10,DE_seq_stop,0,5,13020,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0009659863945578231,0.0,0.0053220391273498535
10,ggpp,0,5,5,0.04829931972789116,0.227670248696953,0.014214038848876953
10,DE_fixed,0,5,800,0.003480666878150224,0.0,0.0022933483123779297
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,6200,0.00882563551736484,0.0,-0.09847211837768555
10,DE_seq_stop,0,5,16480,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.001421499765870627,0.0,0.025929808616638184
10,ggpp,0,5,3,0.01124192625296378,0.0,0.16456818580627441
10,DE_fixed,0,5,800,0.000292895285310839,0.0,0.020575284957885742
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,3300,0.004187252531623392,0.0,0.05408298969268799
10,DE_seq_stop,0,5,8980,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0005608372946376448,0.0,0.11549955606460571
10,ggpp,0,5,2,0.03584656084656084,0.0,0.14943283796310425
10,DE_fixed,0,5,800,0.0033549783549783547,0.0,-0.10766273736953735
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,3200,0.006874039938556067,0.0,0.11479157209396362
10,DE_seq_stop,0,5,10900,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.00015808174080616686,0.0,-0.012636661529541016
10,ggpp,1,5,2,0.12395615866388308,0.31546487678572877,-0.3315701484680176
10,DE_fixed,1,5,800,0.09895615866388309,0.2890648263178879,-0.12462568283081055
10,DE_seq,1,1,160,0.12395615866388308,0.31546487678572877,-0.3124638497829437
10,DE_fixed_stop,1,5,600,0.09895615866388309,0.2890648263178879,-0.12462568283081055
10,DE_seq_stop,1,1,60,0.12395615866388308,0.31546487678572877,-0.3124638497829437
10,none,0,0,0,0.0,0.0,0.0
10,random,1,5,9,0.07142857142857142,0.07737530852351782,0.006856143474578857
10,ggpp,1,5,2,0.03968253968253968,0.0450719708541657,0.018648386001586914
10,DE_fixed,1,5,800,0.03968253968253968,0.0450719708541657,0.014194250106811523
