top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,-4.88256614656487e-05,0.0,-0.04201817512512207
1,ggpp,0,5,4,0.004616769646278499,0.0,0.11233901977539062
1,DE_fixed,0,5,800,0.00010806058719024163,0.0,0.05341976881027222
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,4100,-0.00010134934964901952,0.0,-0.1293632984161377
1,DE_seq_stop,0,5,13400,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0007338069906675834,0.0,0.0898485779762268
1,ggpp,0,5,3,0.11001341627027686,0.3010299956639812,0.1315551996231079
1,DE_fixed,0,5,800,0.0021596341493937653,0.0,-0.012700200080871582
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,10000,0.03223563849249909,0.0,-0.11121314764022827
1,DE_seq_stop,0,5,16160,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0002873281744865642,0.0,0.022139310836791992
1,ggpp,0,5,4,0.024977101388008172,0.0,0.19389063119888306
1,DE_fixed,0,5,800,0.00119938298031381,0.0,0.011488914489746094
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,2800,0.00119938298031381,0.0,0.011488914489746094
1,DE_seq_stop,0,5,9320,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0012188566713572109,0.0,0.07441109418869019
1,ggpp,0,5,3,0.08199464524765729,0.27023815442731974,0.14827150106430054
1,DE_fixed,0,5,800,0.001478213322774667,0.0,0.030281662940979004
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,4400,0.011319539762425229,0.0,0.13669627904891968
1,DE_seq_stop,0,5,15020,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0001176107800319843,0.0,0.009194254875183105
1,ggpp,0,5,6,0.01969308247814519,0.0,0.003990232944488525
1,DE_fixed,0,5,800,5.306656724622617e-05,0.0,0.0921550989151001
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,5600,0.0007939851216010269,0.0,-0.07610493898391724
