top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,-0.00027668880177080836,0.0,-0.12434768676757812
10,ggpp,0,5,7,0.007412775912928491,0.0,0.07758605480194092
10,DE_fixed,0,5,800,-3.228722717293041e-05,0.0,0.04129582643508911
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,6000,0.0038823673269748104,0.0,0.006381630897521973
10,DE_seq_stop,0,5,15380,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0010311293554219811,0.0,0.04623067378997803
10,ggpp,0,5,3,0.031578947368421054,0.0,0.03730374574661255
10,DE_fixed,0,5,800,0.007419925961693224,0.0,-0.011090517044067383
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,3200,0.031578947368421054,0.0,0.017738163471221924
10,DE_seq_stop,0,5,10040,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0,0.0,0.046646714210510254
10,ggpp,0,5,4,0.001792646807752548,0.0,0.02008289098739624
10,DE_fixed,0,5,800,0.0003052411027871151,0.0,0.09820306301116943
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,4600,0.0010863135863135862,0.0,0.07637715339660645
10,DE_seq_stop,0,5,14860,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.011644144144144145,0.0,0.05107319355010986
10,ggpp,1,5,4,0.3316441441441441,0.5,0.06025576591491699
10,DE_fixed,1,5,800,0.09831081081081082,0.2890648263178879,-0.034967899322509766
10,DE_seq,1,2,480,0.09831081081081082,0.2890648263178879,0.012793779373168945
10,DE_fixed_stop,1,5,300,0.09831081081081082,0.2890648263178879,-0.034967899322509766
10,DE_seq_stop,1,2,1100,0.09831081081081082,0.2890648263178879,0.012793779373168945
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0001259177127747018,0.0,-0.12557679414749146
10,ggpp,0,5,5,0.06962025316455696,0.2559580248098155,0.029891908168792725
10,DE_fixed,0,5,800,0.0006669292607380088,0.0,-0.026458442211151123
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,6500,0.0026164604970474806,0.0,-0.0006645321846008301
10,DE_seq_stop,0,5,14000,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.00036835449997251087,0.0,0.05825912952423096
10,ggpp,0,5,4,0.07574104382615021,0.26264953503719357,0.005954742431640625
10,DE_fixed,0,5,800,0.0024150892052315596,0.0,-0.005415558815002441
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,2900,0.009570655075116298,0.0,0.07194924354553223
10,DE_seq_stop,0,5,12380,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0004076162051622175,0.0,0.020303845405578613
10,ggpp,0,5,3,0.005409821586292175,0.0,-0.07500514388084412
10,DE_fixed,0,5,800,0.0005377673846891817,0.0,0.06519019603729248
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,7500,0.0023340814863306216,0.0,-0.0159146785736084
10,DE_seq_stop,0,5,16420,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.00019442912300055145,0.0,0.13392335176467896
10,ggpp,0,5,6,0.01141891891891892,0.0,-0.02529728412628174
10,DE_fixed,0,5,800,0.001244500314267756,0.0,0.1297038197517395
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,2500,0.001244500314267756,0.0,0.1297038197517395
10,DE_seq_stop,0,5,12700,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,8.306642137641067e-05,0.0,-0.0808303952217102
10,ggpp,0,5,5,0.004465953936875109,0.0,0.005314469337463379
10,DE_fixed,0,5,800,0.0017782600177826003,0.0,-0.006819605827331543
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,5900,0.005234686741536057,0.0,-0.07746851444244385
10,DE_seq_stop,0,5,16820,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,7.663413012228091e-05,0.0,0.10189473628997803
10,ggpp,0,5,3,0.0018077305243347148,0.0,0.12542802095413208
10,DE_fixed,0,5,800,0.005461833856349557,0.0,-0.1825712025165558
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,2200,0.005461833856349557,0.0,-0.1825712025165558
10,DE_seq_stop,0,5,13540,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.00023011176857330707,0.0,0.07352238893508911
10,ggpp,0,5,4,0.024161735700197237,0.0,-0.01440960168838501
10,DE_fixed,0,5,800,0.0014532613788196915,0.0,-0.09817242622375488
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,3300,0.0009073449040403329,0.0,0.024777770042419434
10,DE_seq_stop,0,5,17680,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.002270304691501585,0.0,0.037080347537994385
10,ggpp,0,5,5,0.07416825598643781,0.26264953503719357,0.06439244747161865
10,DE_fixed,0,5,800,0.001136229647018469,0.0,0.046733200550079346
10,DE_seq,0,5,2400,0.0,0.0,0.0
