top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
10,none,1,0,0,-0.8,-0.6131471927654584,0.0
10,random,1,5,1,-0.8,-0.6131471927654584,-0.03256863355636597
10,ggpp,1,5,2,0.0,0.0,0.03947126865386963
10,DE_fixed,1,5,500,-0.8,-0.6131471927654584,0.005870223045349121
10,DE_seq,1,1,160,-0.8,-0.6131471927654584,-0.03434431552886963
10,DE_fixed_stop,1,5,200,-0.8,-0.6131471927654584,0.0070566534996032715
10,DE_seq_stop,1,1,40,-0.8,-0.6131471927654584,-0.012505650520324707
10,none,0,0,0,0.0004947683109118087,0.0,0.0
10,random,0,5,150,0.0004947683109118087,0.0,0.026497185230255127
10,ggpp,1,5,3,0.999,1.0,0.03736764192581177
10,DE_fixed,0,5,800,0.0018248587570621469,0.0,-0.01969975233078003
10,DE_seq,1,2,480,0.999,1.0,-0.16310769319534302
10,DE_fixed_stop,0,5,3900,0.0018248587570621469,0.0,-0.05752533674240112
10,DE_seq_stop,1,2,680,0.999,1.0,-0.16310769319534302
10,none,0,0,0,2.230997478972884e-06,0.0,0.0
10,random,0,5,150,0.001332321443629311,0.0,-0.0687553882598877
10,ggpp,1,5,3,0.49850746268656715,0.6309297535714575,0.00187760591506958
10,DE_fixed,1,5,800,0.9985074626865672,1.0,-0.04729747772216797
10,DE_seq,1,5,2400,0.9985074626865672,1.0,-0.04729747772216797
10,DE_fixed_stop,1,5,200,0.9985074626865672,1.0,-0.04729747772216797
10,DE_seq_stop,1,2,1260,0.49850746268656715,0.6309297535714575,-0.1155131459236145
10,none,1,0,0,0.0,0.0,0.0
10,random,1,5,1,0.0,0.0,0.05785590410232544
10,ggpp,1,5,1,-0.8,-0.6131471927654584,0.18919485807418823
10,DE_fixed,1,5,300,-0.8,-0.6131471927654584,0.020562052726745605
10,DE_seq,1,1,60,0.0,0.0,-0.023075222969055176
10,DE_fixed_stop,1,5,200,-0.8,-0.6131471927654584,0.10399186611175537
10,DE_seq_stop,1,1,40,-0.8,-0.6131471927654584,0.03430032730102539
10,none,0,0,0,0.0004947683109118087,0.0,0.0
10,random,0,5,150,0.0004947683109118087,0.0,0.03026103973388672
10,ggpp,1,5,2,0.999,1.0,0.09241980314254761
10,DE_fixed,0,5,800,0.0018248587570621469,0.0,-0.044699668884277344
10,DE_seq,0,5,2400,0.0004947683109118087,0.0,0.0
10,DE_fixed_stop,1,5,1200,0.999,1.0,0.019295811653137207
10,DE_seq_stop,1,2,2040,0.999,1.0,-0.0501590371131897
10,none,0,0,0,0.0013041144601553195,0.0,0.0
10,random,1,5,14,0.24850299401197604,0.43067655807339306,0.04854559898376465
10,ggpp,1,5,2,0.24850299401197604,0.43067655807339306,0.05169260501861572
10,DE_fixed,1,5,800,0.24850299401197604,0.43067655807339306,0.05109512805938721
10,DE_seq,1,1,160,0.24850299401197604,0.43067655807339306,0.03940218687057495
10,DE_fixed_stop,1,5,200,0.24850299401197604,0.43067655807339306,0.05109512805938721
10,DE_seq_stop,1,1,80,0.24850299401197604,0.43067655807339306,0.03940218687057495
10,none,0,0,0,0.00045471692044062213,0.0,0.0
