budget,method,Success@1,Success@10,Success@20,ΔMRR,ΔnDCG,ΔCosSim
0,none,0.0,2.0,2.0,0.0,0.0,0.0
1,de,0.0,5.0,21.0,0.023749479237543898,0.05555143331265742,-0.023236305117607117
1,freq,0.0,0.0,1.0,-0.001993397826118204,-0.005791005413113024,0.012552798092365265
1,none,1.0,2.0,3.0,0.0,0.0,0.0
1,random,0.0,0.0,0.0,0.00024976508320030384,-0.00227670248696953,-0.03264658182859421
2,de,0.0,17.0,62.0,0.06355260933061463,0.17329394053800973,-0.01602362632751465
2,freq,0.0,1.0,2.0,-0.0014079614738869782,-0.0004855086197975074,0.009599298238754272
2,none,0.0,0.0,3.0,0.0,0.0,0.0
2,random,1.0,3.0,4.0,0.009755771509445434,0.007823015866902459,-0.03245919406414032
3,de,1.0,22.0,76.0,0.07992215946377952,0.21463074500008905,-0.010457354485988618
3,freq,1.0,1.0,2.0,0.0046810084280340366,0.003340909600883019,0.004737760424613952
3,none,0.0,2.0,3.0,0.0,0.0,0.0
3,random,0.0,0.0,4.0,0.0011907730793321244,0.002483289862192696,-0.03623313069343567
4,de,1.0,26.0,67.0,0.08101291245847647,0.19727987965877522,-0.0020898500084877013
4,freq,0.0,1.0,1.0,-0.0022739146414070192,-0.005597477369218016,0.005086871981620789
4,none,0.0,0.0,1.0,0.0,0.0,0.0
4,random,0.0,1.0,3.0,-0.0023751459568350976,-0.004635930615115072,-0.04190154612064362
5,de,2.0,22.0,73.0,0.09288252998417153,0.214248966469459,-0.024950052201747893
5,freq,0.0,3.0,3.0,0.00402311794020769,0.005424252183361101,0.010136416554450989
5,none,0.0,1.0,1.0,0.0,0.0,0.0
5,random,0.0,1.0,1.0,0.005142070219027038,0.004032595048745045,-0.04603645175695419
