budget,method,top_k,success,delta_mrr,delta_ndcg,delta_cos
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,1,0.0,0.0,0.0
0,none,20,1,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,1,0.0,0.0,0.0
0,none,20,1,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
0,none,20,0,0.0,0.0,0.0
0,none,1,0,0.0,0.0,0.0
0,none,10,0,0.0,0.0,0.0
