top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,8.163085204959631e-05,0.0,0.013418912887573242
1,ggpp,0,5,5,0.00011497569729378783,0.0,0.020671606063842773
1,DE_fixed,0,5,800,0.00012971644440398712,0.0,0.018895268440246582
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,2500,0.00012971644440398712,0.0,0.018895268440246582
1,DE_seq_stop,0,5,11580,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.002276307498424701,0.0,0.0023212432861328125
1,ggpp,0,5,2,0.008979206049149337,0.0,-0.1075354814529419
1,DE_fixed,0,5,800,0.0017592758682543842,0.0,-0.003283202648162842
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,10200,0.33144297416509133,0.5,-0.160999596118927
1,DE_seq_stop,0,5,18280,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.00011188686000716081,0.0,0.005067229270935059
1,ggpp,0,5,3,0.00014695243262796177,0.0,0.00528109073638916
1,DE_fixed,0,5,800,0.00019484687328076306,0.0,0.006104171276092529
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,5200,0.0002692451769994381,0.0,0.003942251205444336
1,DE_seq_stop,0,5,11640,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,5.520719813532156e-05,0.0,0.017698168754577637
1,ggpp,0,5,3,0.003008716611087265,0.0,-0.1309710144996643
1,DE_fixed,0,5,800,0.0016219611920737815,0.0,0.01375037431716919
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,3800,0.00324996282007541,0.0,0.0033050179481506348
1,DE_seq_stop,0,5,14720,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0013754045307443358,0.0,0.002681553363800049
1,ggpp,0,5,3,0.0029026217228464418,0.0,0.00898122787475586
1,DE_fixed,0,5,800,0.0009259259259259255,0.0,0.0033011436462402344
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,7400,0.0026556776556776567,0.0,0.00411379337310791
1,DE_seq_stop,0,5,15300,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,2.1138967572823485e-05,0.0,-0.014666914939880371
1,ggpp,0,5,5,0.008926357550210762,0.0,-0.04254448413848877
1,DE_fixed,0,5,800,0.0073176059414591516,0.0,-0.018571138381958008
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,2200,0.0073176059414591516,0.0,-0.018571138381958008
1,DE_seq_stop,0,5,9320,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.00012454825734528456,0.0,0.02142435312271118
1,ggpp,0,5,7,0.0003269261981497368,0.0,0.047182559967041016
1,DE_fixed,0,5,800,0.00016106293168003283,0.0,0.028682708740234375
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,2500,0.00016106293168003283,0.0,0.028682708740234375
1,DE_seq_stop,0,5,9760,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.0005069346518394233,0.0,0.02724379301071167
1,ggpp,0,5,6,0.002811393152302243,0.0,0.033434391021728516
1,DE_fixed,0,5,800,-0.00014913316348723034,0.0,0.017798781394958496
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,3600,0.00013922213335703076,0.0,0.03224360942840576
1,DE_seq_stop,0,5,11920,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.00043252032520325217,0.0,0.0369182825088501
1,ggpp,0,5,3,0.00041207243460764597,0.0,0.03777885437011719
1,DE_fixed,0,5,800,0.0008509803921568626,0.0,0.0571821928024292
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,6000,0.0004040080160320639,0.0,0.07139867544174194
1,DE_seq_stop,0,5,18680,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,4.051546475289641e-06,0.0,0.0014117956161499023
1,ggpp,0,5,5,9.497835850259904e-06,0.0,0.009512007236480713
1,DE_fixed,0,5,800,5.408358076571581e-06,0.0,0.0022876858711242676
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,2700,5.408358076571581e-06,0.0,0.0022876858711242676
1,DE_seq_stop,0,5,10000,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,-0.0006575963718820858,0.0,-0.04487186670303345
1,ggpp,0,5,4,0.009183673469387754,0.0,0.0011626482009887695
1,DE_fixed,0,5,800,-0.0005975363118220257,0.0,-0.028391480445861816
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,3100,0.007556187031774735,0.0,0.006156861782073975
1,DE_seq_stop,0,5,9340,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,9.964715847068798e-05,0.0,-0.0012350082397460938
1,ggpp,0,5,5,0.00017833426411304485,0.0,0.005097031593322754
1,DE_fixed,0,5,800,0.00010918172843774575,0.0,0.0036897659301757812
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,3900,0.0002684157613735078,0.0,0.019344806671142578
1,DE_seq_stop,0,5,11920,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.00316567206592782,0.0,0.0564272403717041
1,ggpp,0,5,5,0.005915472225799923,0.0,0.0934908390045166
1,DE_fixed,0,5,800,0.0012274932856437767,0.0,0.0768589973449707
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,0,5,3300,0.002122588165701063,0.0,0.07814908027648926
1,DE_seq_stop,0,5,14800,0.0,0.0,0.0
1,none,0,0,0,0.0,0.0,0.0
1,random,0,5,150,0.04244031830238727,0.26264953503719357,0.0024619102478027344
1,ggpp,0,5,1,0.29885057471264365,0.5,0.0096893310546875
1,DE_fixed,0,5,800,0.21551724137931033,0.43067655807339306,0.012900948524475098
1,DE_seq,0,5,2400,0.0,0.0,0.0
1,DE_fixed_stop,1,5,2600,0.9655172413793104,1.0,0.0006560683250427246
