top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,8.063784535677215e-05,0.0,0.003358304500579834
20,ggpp,0,5,5,0.0009468364148167109,0.0,-0.0016703605651855469
20,DE_fixed,0,5,800,0.00042392262296545025,0.0,-0.0075598955154418945
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,3600,0.0004113030525356278,0.0,0.009631633758544922
20,DE_seq_stop,0,5,12320,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,1,5,8,0.046875,0.24465054211822604,-0.010723412036895752
20,ggpp,1,5,2,0.03993055555555555,0.23540891336663824,0.019221901893615723
20,DE_fixed,1,5,800,0.03993055555555555,0.23540891336663824,-0.019575893878936768
20,DE_seq,1,2,480,0.03993055555555555,0.23540891336663824,-0.025087416172027588
20,DE_fixed_stop,1,5,200,0.03993055555555555,0.23540891336663824,-0.019575893878936768
20,DE_seq_stop,1,2,700,0.055803571428571425,0.2559580248098155,-0.004861176013946533
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.00462547328154885,0.0,0.05051308870315552
20,ggpp,0,5,11,0.03436324024559319,0.0,0.03786444664001465
20,DE_fixed,0,5,800,0.0051387032085561495,0.0,0.04674333333969116
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,3900,0.019065333643338758,0.0,0.05286669731140137
20,DE_seq_stop,0,5,13680,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,1,5,2,0.057692307692307696,0.26264953503719357,0.005416750907897949
20,ggpp,1,5,2,0.03076923076923077,0.227670248696953,-0.02394890785217285
20,DE_fixed,1,5,800,0.07167832167832168,0.27894294565112987,0.011829733848571777
20,DE_seq,1,2,480,0.047435897435897434,0.25,-0.0011004209518432617
20,DE_fixed_stop,1,5,200,0.057692307692307696,0.26264953503719357,0.01033937931060791
20,DE_seq_stop,1,2,580,0.08076923076923077,0.2890648263178879,0.009502708911895752
20,none,1,0,0,0.0,0.0,0.0
20,random,1,5,1,-0.04999999999999999,-0.04382375083885143,-0.004520714282989502
20,ggpp,1,5,1,0.08333333333333331,0.06932344192660694,-0.0007665157318115234
20,DE_fixed,1,5,200,0.08333333333333331,0.06932344192660694,0.005148351192474365
20,DE_seq,1,1,40,0.08333333333333331,0.06932344192660694,0.0019016265869140625
20,DE_fixed_stop,1,5,200,0.08333333333333331,0.06932344192660694,0.005148351192474365
20,DE_seq_stop,1,1,40,0.08333333333333331,0.06932344192660694,0.0019016265869140625
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.00018896736018324104,0.0,0.022505879402160645
20,ggpp,0,5,5,0.0003096774193548388,0.0,-0.02412128448486328
20,DE_fixed,0,5,800,5.015999308138029e-05,0.0,-0.06341081857681274
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,3700,0.0001955615203949575,0.0,-0.05333954095840454
20,DE_seq_stop,0,5,10700,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,1,5,15,0.05646258503401361,0.25,0.010228097438812256
20,ggpp,1,5,2,0.05229591836734694,0.24465054211822604,0.006093084812164307
20,DE_fixed,1,5,800,0.045351473922902494,0.23540891336663824,0.00875478982925415
20,DE_seq,1,3,960,0.05229591836734694,0.24465054211822604,0.0009827017784118652
20,DE_fixed_stop,1,5,200,0.045351473922902494,0.23540891336663824,0.00875478982925415
20,DE_seq_stop,1,2,1480,0.04242749731471536,0.23137821315975915,0.010345876216888428
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0007890051791109194,0.0,0.010212242603302002
20,ggpp,0,5,4,0.004303804855275444,0.0,-0.0001876354217529297
20,DE_fixed,0,5,800,0.0009324141048824594,0.0,0.013287007808685303
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,7100,0.003791953528399312,0.0,0.024112343788146973
20,DE_seq_stop,0,5,15680,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.00027383619616629367,0.0,0.0026889443397521973
20,ggpp,0,5,4,0.0008274492497793474,0.0,-0.0057978034019470215
20,DE_fixed,0,5,800,0.0008274492497793474,0.0,0.003747105598449707
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,2400,0.0008274492497793474,0.0,0.003747105598449707
20,DE_seq_stop,0,5,11440,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0014137250713145758,0.0,0.016517043113708496
20,ggpp,0,5,3,0.007811204657246549,0.0,-0.0339585542678833
20,DE_fixed,0,5,800,0.003257105968426612,0.0,-0.011302828788757324
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,2200,0.003257105968426612,0.0,-0.011302828788757324
20,DE_seq_stop,0,5,9100,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,1,5,64,0.04927587424938184,0.23137821315975915,0.07802426815032959
20,ggpp,1,5,2,0.06807286673058485,0.2559580248098155,0.0791439414024353
20,DE_fixed,1,5,800,0.24664429530201343,0.43067655807339306,0.06673288345336914
20,DE_seq,1,2,480,0.05219985085756897,0.23540891336663824,0.048508524894714355
20,DE_fixed_stop,1,5,200,0.24664429530201343,0.43067655807339306,0.06673288345336914
20,DE_seq_stop,1,2,940,0.05219985085756897,0.23540891336663824,0.048508524894714355
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,9.669081578748788e-05,0.0,0.0014414787292480469
20,ggpp,0,5,4,0.000754057228272475,0.0,0.053697049617767334
20,DE_fixed,0,5,800,0.0001379210220673636,0.0,0.00735926628112793
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,3900,0.00014056925701876857,0.0,0.011904478073120117
20,DE_seq_stop,0,5,12620,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0005716299620059484,0.0,0.016677260398864746
20,ggpp,0,5,5,0.01230578404491448,0.0,0.017625093460083008
20,DE_fixed,0,5,800,0.0008414508592698188,0.0,0.021030068397521973
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,3100,0.008596192100028417,0.0,0.00037986040115356445
20,DE_seq_stop,0,5,13640,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.03229770054414604,0.0,0.04281991720199585
20,ggpp,1,5,2,0.04789224245447742,0.23137821315975915,0.0481029748916626
20,DE_fixed,1,5,800,0.057760663507109004,0.24465054211822604,0.046881914138793945
20,DE_seq,1,3,960,0.04526066350710901,0.227670248696953,0.032045841217041016
20,DE_fixed_stop,1,5,300,0.057760663507109004,0.24465054211822604,0.046881914138793945
20,DE_seq_stop,1,3,2260,0.04526066350710901,0.227670248696953,0.032045841217041016
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,-8.771929824561483e-05,0.0,0.0012148022651672363
20,ggpp,0,5,4,0.000686274509803921,0.0,-9.912252426147461e-05
20,DE_fixed,0,5,800,4.474272930648712e-05,0.0,0.0013180375099182129
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,9500,0.0005797101449275359,0.0,0.002461850643157959
20,DE_seq_stop,0,5,15500,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.001671473807696718,0.0,0.10012614727020264
20,ggpp,1,5,6,0.08948458948458948,0.27894294565112987,0.08499288558959961
20,DE_fixed,0,5,800,0.0008903133903133901,0.0,0.08904802799224854
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,4100,0.005769743179815123,0.0,0.029536962509155273
20,DE_seq_stop,0,5,14400,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0001514670667320619,0.0,0.005231022834777832
20,ggpp,0,5,8,0.000254184560753904,0.0,0.01907944679260254
20,DE_fixed,0,5,800,0.0002672326909568456,0.0,0.018432259559631348
